"scenario","transect","population_size","spacing","sigma","truncation","density_scenario","mc_se","mean_nhat"
1,"line",1630,2000,15,40,1,380.835809393458,1663.33794697231
1,"line",1630,2000,15,40,2,382.082431301702,1664.95060531788
1,"line",1630,2000,15,40,3,384.223115612956,1655.71394487373
1,"line",1630,2000,15,40,4,379.856130600051,1659.61822768583
2,"line",6400,2000,15,40,1,746.916858069723,6426.28522199625
2,"line",6400,2000,15,40,2,751.392912896422,6435.18224229173
2,"line",6400,2000,15,40,3,776.990252223919,6403.26085867054
2,"line",6400,2000,15,40,4,741.990586441135,6425.38770273673
3,"line",16000,2000,15,40,1,1175.81588877021,16011.5339134642
3,"line",16000,2000,15,40,2,1204.80750428793,16041.7089753197
3,"line",16000,2000,15,40,3,1305.19934475471,15954.097081692
3,"line",16000,2000,15,40,4,1177.66419960071,16015.0003767957
4,"line",530,667,15,40,1,123.777579773695,539.893220452201
4,"line",530,667,15,40,2,123.459226575228,540.571502643126
4,"line",530,667,15,40,3,122.975017229615,539.956394650265
4,"line",530,667,15,40,4,122.925691936754,540.33437364008
5,"line",2130,667,15,40,1,243.254825168673,2138.49737067202
5,"line",2130,667,15,40,2,243.593790293668,2138.74721142604
5,"line",2130,667,15,40,3,243.984813892935,2136.9696618461
5,"line",2130,667,15,40,4,242.565360493106,2138.87727046126
6,"line",5400,667,15,40,1,384.888444932187,5405.64138605163
6,"line",5400,667,15,40,2,387.396656040389,5406.93626470059
6,"line",5400,667,15,40,3,392.683984046245,5401.14955002086
6,"line",5400,667,15,40,4,387.231129097131,5407.70640695087
7,"line",320,400,15,40,1,73.0455192198296,325.813694049667
7,"line",320,400,15,40,2,73.087128149022,326.194999527337
7,"line",320,400,15,40,3,73.3475170514287,326.022887206946
7,"line",320,400,15,40,4,73.2111932231604,326.490583586744
8,"line",1280,400,15,40,1,144.153015995508,1284.82411667308
8,"line",1280,400,15,40,2,144.064604586643,1284.96735771647
8,"line",1280,400,15,40,3,144.69499069621,1284.2953492874
8,"line",1280,400,15,40,4,144.625824533544,1284.92217022739
9,"line",3250,400,15,40,1,229.298575715537,3252.42201199114
9,"line",3250,400,15,40,2,229.627556351157,3253.76484606285
