"scenario","transect","population_size","spacing","sigma","truncation","density_scenario","mc_se","mean_nhat"
1,"line",1630,2000,15,40,1,381.062018601669,1662.11552895487
1,"line",1630,2000,15,40,2,382.664537640778,1664.70556802513
1,"line",1630,2000,15,40,3,383.5028148078,1654.98618206317
1,"line",1630,2000,15,40,4,381.090287835479,1661.95780814221
2,"line",6400,2000,15,40,1,744.117829576748,6425.56233171735
2,"line",6400,2000,15,40,2,751.4728438544,6436.59761595816
2,"line",6400,2000,15,40,3,775.107958735915,6398.8865483906
2,"line",6400,2000,15,40,4,743.864860407194,6425.87855704974
3,"line",16000,2000,15,40,1,1177.37574308969,16016.268933784
3,"line",16000,2000,15,40,2,1201.46106432628,16042.8411576228
3,"line",16000,2000,15,40,3,1304.83586230385,15948.9357457754
3,"line",16000,2000,15,40,4,1176.72433258029,16016.377837428
4,"line",530,667,15,40,1,123.219216225046,540.500889311399
4,"line",530,667,15,40,2,123.310640124855,540.600061342686
4,"line",530,667,15,40,3,123.314311469423,540.228940838754
4,"line",530,667,15,40,4,123.273929781074,540.523663169839
5,"line",2130,667,15,40,1,243.187592748246,2138.27658448916
5,"line",2130,667,15,40,2,243.380510541478,2138.70037775928
5,"line",2130,667,15,40,3,244.179888239709,2137.26690479369
5,"line",2130,667,15,40,4,243.268630255876,2138.42446362996
6,"line",5400,667,15,40,1,386.325632397619,5404.65344430416
6,"line",5400,667,15,40,2,387.644812784185,5406.15609499864
6,"line",5400,667,15,40,3,391.336179481148,5402.0950227389
6,"line",5400,667,15,40,4,386.651614840805,5405.0241520041
7,"line",320,400,15,40,1,73.2375166390297,326.295763342647
7,"line",320,400,15,40,2,73.2366478869988,326.289859272989
7,"line",320,400,15,40,3,73.2942063443299,326.193741265284
7,"line",320,400,15,40,4,73.2413670141647,326.303818112304
8,"line",1280,400,15,40,1,144.083484339391,1284.87404669907
8,"line",1280,400,15,40,2,144.096832554211,1285.10128430442
8,"line",1280,400,15,40,3,144.283719593239,1284.68877638104
8,"line",1280,400,15,40,4,144.11247552124,1284.92249547496
9,"line",3250,400,15,40,1,229.096390991537,3252.72097388362
9,"line",3250,400,15,40,2,229.250473377935,3253.17338434767
9,"line",3250,400,15,40,3,230.09102874386,3252.16236738012
9,"line",3250,400,15,40,4,229.096579552597,3253.00635011614
10,"line",160,200,15,40,1,35.4992819881882,163.14213038626
10,"line",160,200,15,40,2,35.4975527230102,163.148999210633
10,"line",160,200,15,40,3,35.5057367748795,163.139521949324
10,"line",160,200,15,40,4,35.5087769246657,163.142760645353
11,"line",640,200,15,40,1,69.7506128576236,642.462436466154
11,"line",640,200,15,40,2,69.7366564656626,642.526630227538
11,"line",640,200,15,40,3,69.7843899073421,642.393045857316
11,"line",640,200,15,40,4,69.738231389429,642.427737685059
12,"line",1600,200,15,40,1,109.979976864155,1601.37569395776
12,"line",1600,200,15,40,2,110.011740277824,1601.52725085886
12,"line",1600,200,15,40,3,110.108197601153,1601.29701629228
12,"line",1600,200,15,40,4,110.012806999261,1601.48124856719
1,"point",6000,2236,70,200,1,1578.96447584124,6110.89835713926
1,"point",6000,2236,70,200,2,1882.74693214253,5940.50014093166
1,"point",6000,2236,70,200,3,1630.45470879034,6133.48392904125
1,"point",6000,2236,70,200,4,1583.7130571597,6118.78962448488
2,"point",20000,2236,70,200,1,2875.5724852353,20009.5364418848
2,"point",20000,2236,70,200,2,4615.12457070486,19435.3887169218
2,"point",20000,2236,70,200,3,3147.2441512642,20086.2438800115
2,"point",20000,2236,70,200,4,2886.28387878768,20035.5415451814
3,"point",37800,2236,70,200,1,4021.03411421724,37686.5274136381
3,"point",37800,2236,70,200,2,7977.74370753906,36605.5903932447
3,"point",37800,2236,70,200,3,4680.27693876247,37831.7656391418
3,"point",37800,2236,70,200,4,4050.93298572156,37735.196193361
4,"point",2500,1581,70,200,1,710.717862003934,2555.92393497862
4,"point",2500,1581,70,200,2,769.036536904356,2516.66529849412
4,"point",2500,1581,70,200,3,720.547517632035,2561.93144524638
4,"point",2500,1581,70,200,4,711.526995795002,2557.96722613703
5,"point",12000,1581,70,200,1,1546.27064753953,11983.8792268459
5,"point",12000,1581,70,200,2,2160.84347036869,11791.4961214864
5,"point",12000,1581,70,200,3,1633.54870482435,12010.5627779163
5,"point",12000,1581,70,200,4,1550.40425501525,11993.0483126388
6,"point",24500,1581,70,200,1,2256.04189518042,24392.3947191743
6,"point",24500,1581,70,200,2,3839.48122245273,23999.433917706
6,"point",24500,1581,70,200,3,2495.58555933462,24446.3831275473
6,"point",24500,1581,70,200,4,2266.58691786808,24409.9957517066
7,"point",1800,1291,70,200,1,487.683483039083,1835.51584329881
7,"point",1800,1291,70,200,2,514.077951266268,1814.35759976254
7,"point",1800,1291,70,200,3,492.322554403879,1838.58667200652
7,"point",1800,1291,70,200,4,488.02993944192,1836.42330735298
8,"point",6800,1291,70,200,1,939.578915296566,6796.27974632879
8,"point",6800,1291,70,200,2,1142.74280801335,6714.69322274313
8,"point",6800,1291,70,200,3,970.872122235626,6807.01194812924
8,"point",6800,1291,70,200,4,941.418299512954,6800.14309332975
9,"point",17000,1291,70,200,1,1517.09647133489,16919.1663050558
9,"point",17000,1291,70,200,2,2239.95512508995,16714.822852414
9,"point",17000,1291,70,200,3,1635.03712504055,16948.6515775606
9,"point",17000,1291,70,200,4,1522.86787429422,16928.4334258198
10,"point",1150,1000,70,200,1,299.153321188438,1170.0833044738
10,"point",1150,1000,70,200,2,309.883749542582,1160.11528271795
10,"point",1150,1000,70,200,3,301.1833907488,1171.53061201207
10,"point",1150,1000,70,200,4,299.521007843618,1170.74179852677
11,"point",4000,1000,70,200,1,553.167837379769,3997.37105888714
11,"point",4000,1000,70,200,2,625.679346879585,3961.86306274788
11,"point",4000,1000,70,200,3,563.874582256042,4002.52734496184
11,"point",4000,1000,70,200,4,553.406086462942,3998.69409242015
12,"point",10200,1000,70,200,1,898.31453516664,10149.2868985902
12,"point",10200,1000,70,200,2,1173.92723411505,10059.8145162856
12,"point",10200,1000,70,200,3,940.680006353069,10162.9765482367
12,"point",10200,1000,70,200,4,900.381990370276,10153.5370501172
